,userId,movieId,rating,timestamp,predictedRating,s1,s2,s3,s4,s5,s6,s7,s8,q,s_ser_rel,s_ser_find,s_ser_imp,s_ser_rec,m_ser_rel,m_ser_find,m_ser_imp,m_ser_rec,gpt-rating
0,205229,108979,5.0,1486127833000,4.8822985,1.0,1.0,3.0,4.0,2.0,2.0,5.0,5.0,6,False,False,False,False,False,False,False,False,4.0
1,205229,6947,4.0,1486121212000,3.2533484,1.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,6,False,False,False,False,False,False,False,False,4.5
2,205229,117444,4.0,1486127837000,4.9228373,1.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,3,False,False,False,False,False,False,False,False,4.5
3,205229,150548,4.0,1486127824000,4.4289117,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,7,False,False,False,False,False,False,False,False,4.0
4,205229,136542,5.0,1486128075000,4.101256,1.0,1.0,5.0,1.0,1.0,2.0,5.0,2.0,6,False,False,False,False,False,False,False,False,4.0
5,117112,77455,3.5,1491910602000,3.4911196,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,6,False,False,False,False,False,False,False,False,3.5
6,144726,1303,4.0,1489118656000,4.194195,1.0,1.0,,4.0,3.0,2.0,5.0,3.0,6,False,False,False,False,False,False,False,False,4.5
7,144726,103306,3.5,1485640141000,3.0313818,,,3.0,2.0,1.0,2.0,4.0,2.0,5,False,False,False,False,False,False,False,False,3.0
8,144726,2060,4.5,1488168219000,3.195071,1.0,1.0,4.0,2.0,1.0,1.0,5.0,2.0,6,False,False,False,False,False,False,False,False,4.0
9,144726,135534,3.5,1486438166000,2.757389,2.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,5,False,False,False,False,False,False,False,False,3.0
10,144726,128542,3.5,1486446805000,3.6336055,1.0,1.0,4.0,3.0,1.0,2.0,5.0,2.0,5,False,False,False,False,False,False,False,False,4.0
11,200400,26939,4.0,1490679857000,3.7607656,1.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2,False,False,False,False,False,False,False,False,4.5
12,200400,40491,3.5,1488958959000,3.511684,1.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2,False,False,False,False,False,False,False,False,4.0
13,125112,104337,3.5,1490369510000,3.7392685,,,,,,,,,7,False,False,False,False,False,False,False,False,4.0
14,125112,162082,4.0,1487164397000,3.7969306,2.0,,3.0,5.0,5.0,,4.0,4.0,4,False,False,False,False,False,False,False,False,3.5
15,125112,96966,4.5,1490369809000,4.131457,,,,,,,,,7,False,False,False,False,False,False,False,False,4.0
16,125112,165551,4.5,1490368915000,4.0900993,1.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,3,False,False,False,False,False,False,False,False,4.0
17,125112,89759,5.0,1490369542000,4.213553,,,,,,,,,6,False,False,False,False,False,False,False,False,4.5
18,113031,5046,3.5,1484584534000,3.1500452,1.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,3,False,False,False,False,False,False,False,False,3.0
19,113031,116855,4.0,1485413488000,3.780302,1.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0,5,False,False,False,False,False,False,False,False,3.0
20,113031,102666,4.0,1485694992000,3.9395714,1.0,1.0,3.0,1.0,2.0,4.0,5.0,4.0,5,False,False,False,False,False,False,False,False,4.5
21,113031,127164,4.0,1485099716000,3.914593,1.0,1.0,4.0,1.0,2.0,2.0,5.0,1.0,7,False,False,False,False,False,False,False,False,3.5
22,113031,6718,3.5,1485695298000,3.1092682,1.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,6,False,False,False,False,False,False,False,False,3.5
23,101818,137857,3.5,1483310469000,3.6865396,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,3,False,False,False,False,False,False,False,False,3.0
24,101818,69844,4.0,1483303904000,3.9932237,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,6,False,False,False,False,False,False,False,False,3.5
25,101818,6027,4.5,1492111056000,3.79442,,4.0,2.0,5.0,1.0,1.0,5.0,2.0,3,False,False,False,False,True,True,False,False,3.5
26,101818,162414,5.0,1492111064000,4.5215125,4.0,,5.0,2.0,,,5.0,,2,False,False,False,False,False,False,False,False,4.5
27,116352,164179,3.5,1488241720000,4.248882,1.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,2,False,False,False,False,False,False,False,False,4.0
